Date,CL Brent Price,CL WTI Price,Federal Fund Rate,ACTUAL_RELEASE_gdp_growth,CPI_growth,PCE_growth,NG Price,Unemployment Rate,NFP,Stock,Per End,P/E,P/B,D/E,PEG,Reported,Total Assets,Total Liabilities,Total Shareholders' Equity,Book Value per Share,ST Debt & Curr. Portion LT Debt,Long-Term Debt,Total Equity,Revenue,Operating Expenses,Net Income,Net Operating Cash Flow,Net Investing Cash Flow
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,APA,MAR '24,38.853503184713375,3.522729110216376,1.4505885573501232,-873.7299984464815,0.785,14952,11299,2607,8.65806,121,5178,3653,1951,1389,132,368,-88
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,BKR,MAR '24,75.61320754716982,2.07785541470585,0.3862379421221865,314.39175769612723,0.424,37141,21591,15391,15.42937,147,5859,15550,6418,6376,455,784,-269
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,CHRD,MAR '24,5.686900958466454,0.24774219747165416,0.08393951896859578,137.0000160547138,5.321,7025.514,1950.336,5075.178,122.1431,13.691,412.317,5075.178,1085.26,826.3639999999999,198.566,406.698,-204.887
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,CHX,MAR '24,64.22845691382766,3.5676438634299243,0.4126838896774019,512.5682738025066,0.499,3322.949,1627.775,1710.463,8.98352,28.999,670.572,1695.174,922.141,968.913,112.923,173.508,-10.794
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,EXE,MAR '24,62.75449101796407,0.38544659578568585,0.19528178243774574,-61.05267431239216,0.501,14018,3336,10682,81.56772,61,2025,10682,922,1079,26,552,-374
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,FANG,MAR '24,6.944996686547382,0.3307969776687841,0.36788945002497364,456.5039613067819,4.527,29690,11671,16950,95.04319,0,6629,18019,2227,1129,763,1334,-751
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,GPRE,MAR '24,-36.123456790123456,2.1304651418477674,0.7776089766654674,93.36995187277674,-0.81,1799.435,898.967,887.454,13.73409,155.796,544.416,900.468,597.28,669.955,-51.412,-50.599,-30.203
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,PTEN,MAR '24,211.80555555555557,2.59669938224096,0.27797301139323005,-640.5826558265585,0.144,7226.188,2474.331,4742.997,11.74568,48.053,1272.835,4751.857,1510.36,1492.5249999999999,51.235,365.891,-227.485
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,VNOM,MAR '24,41.532364597093796,2.6625700576043307,0.38215635162321315,340.56538969616946,0.757,4012.566,1148.432,1079.545,11.80814,1,1093.547,2864.134,205.067,71.405,43.304,115.442,-20.345
MAR '24,87.48,83.17,5.33,1.4,0.4,0.34,1.763,3.8,158106,WFRD,MAR '24,21.67680865449628,2.1510469748134273,1.7281818181818183,108.30903701416133,1.479,5090,3990,1091,14.90437,148,1753,1100,1358,1325,112,131,-54
